tagId;lat;lon;locationX;locationY;location;locationCategory;Fell off;Re-Activated & deployed;Activated;Weight;Type;Got Time;Notes_x;MonitorLog.txt;Bag #;Transponder #;Mass Total;Mass Bag;Mass Bat;Sex;FA(mm);Age;Repro State;Tooth Wear;Testes Width;Testes Length;Bites;Guano;Notes_y;Transponder #.1;_merge
0008;;;;;;;;X;X;7.67 g;Tag;X;;TAG AROUND 30:83:98:D9:00:08: group: 0x12345678, id: 0008, 4225 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E16;989001044396450.0;195.0;45.0;150.0;M;94.09;A;SCR;0.0;15.94;19.03;N;;;450.0;both
0024;;;;;;;;X;X;7.59 g;Tag;X;;TAG AROUND 30:83:98:D9:00:24: group: 0x12345678, id: 0024, 4295 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S1;989001044396407.0;212.0;42.0;170.0;M;96.82;A;SCR;1.0;15.69;15.54;Y;;;407.0;both
0028;;;;;;;;X;X;7.71 g;Tag;X;;TAG AROUND 30:83:98:D9:00:28: group: 0x12345678, id: 0028, 4220 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S21;989001044396399.0;205.0;40.0;165.0;M;98.17;A;SCR;;16.28;19.78;Y;;t0rn ear;399.0;both
0030;;;;;;;;X;X;7.64 g;Tag;X;;TAG AROUND 30:83:98:D9:00:30: group: 0x12345678, id: 0030, 4300 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S36;989001044396451.0;202.0;43.0;159.0;M;97.17;A;SCR;0.0;17.61;14.79;N;;;451.0;both
003C;;;;;;;;X;X;7.67 g;Tag;X;;TAG AROUND 30:83:98:D9:00:3C: group: 0x12345678, id: 003C, 4258 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H48;989001044396365.0;210.0;45.0;165.0;M;92.37;A;SCR;1.0;16.41;18.12;N;;;365.0;both
007C;;;;;;;X;X;X;7.60 g;Tag;X;FALL OFF, FOUND @15:00 local time, 30.01.2023;TAG AROUND 30:83:98:D9:00:7C: group: 0x12345678, id: 007C, 4242 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H24;989001044396465.0;220.0;45.0;175.0;M;98.37;A;SCR;;20.1;19.1;;;;465.0;both
F808;;;;;;;;X;X;7.73 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:08: group: 0x12345678, id: F808, 4213 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H37;989001044396411.0;210.0;45.0;165.0;M;93.61000000000001;A;SCR;0.0;18.63;18.32;N;;;411.0;both
F834;;;;;;;;X;X;7.75 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:34: group: 0x12345678, id: F834, 4292 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S10;989001044396548.0;205.0;40.0;165.0;M;97.23;A;SCR;;21.3;20.2;;;;548.0;both
F840;;;;;;;;X;X;7.62 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:40: group: 0x12345678, id: F840, 4261 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B79;989001044396409.0;215.0;50.0;165.0;M;95.85;A;SCR;0.0;18.44;16.27;N;;;409.0;both
F848;;;;;;;X;X;X;7.62 g;Tag;X;FALL OFF, FOUND @11:00 local time, 02.02.2023;TAG AROUND 30:83:98:D8:F8:48: group: 0x12345678, id: F848, 4275 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H45;989001044396479.0;210.0;45.0;165.0;M;99.37;A;SCR;;25.7;19.8;;;;479.0;both
F870;;;;;;;;X;X;7.68 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:70: group: 0x12345678, id: F870, 4186 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S24;989001044396414.0;200.0;40.0;160.0;M;94.68;A;SCR;;15.97;16.62;N;;;414.0;both
F88C;;;;;;;X;X;X;7.62 g;Tag;X;FALL OFF, FOUND @11:00 local time, 03.02.2023;TAG AROUND 30:83:98:D8:F8:8C: group: 0x12345678, id: F88C, 4223 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E7;989001044396468.0;215.0;45.0;170.0;M;96.41;A;SCR;;18.5;19.0;;Y;;468.0;both
F8A0;;;;;;;;X;X;7.60 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:A0: group: 0x12345678, id: F8A0, 4266 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;;;;;;;;;;;;;;;;;left_only
